ano	cancelado	createdAt	data_assinatura	data_atualizacao_pncp	data_fim_vigencia	data_inicio_vigencia	data_publicacao_pncp	description	doc_type	document_type	esfera_id	esfera_nome	id	index	item_url	modalidade_licitacao_id	modalidade_licitacao_nome	municipio_id	municipio_nome	numero	numero_controle_pncp	numero_sequencial	numero_sequencial_compra_ata	orgao_cnpj	orgao_id	orgao_nome	orgao_subrogado_id	orgao_subrogado_nome	poder_id	poder_nome	situacao_id	situacao_nome	tem_resultado	tipo_contrato_id	tipo_contrato_nome	tipo_id	tipo_nome	title	uf	unidade_codigo	unidade_id	unidade_nome	valor_global
2024	False	2024-10-16T00:00:59.151024		2024-10-16T00:00:59.031417	2024-10-22T09:50:01	2024-10-15T18:00:01	2024-10-16T00:00:59.031417	AQUISIÇÃO DE LÂMPADAS LED PARA ATENDER AS DEMANDAS PARA ATENDER AS DEMANDAS DA CÂMARA DE VEREADORES DE BALNEÁRIO CAMBORIÚ, EM CONFORMIDADE COM A LEI 14.133 DE 2021, QUE ESTABELECE AS NORMAS GERAIS DE LICITAÇÃO E CONTRATAÇÃO PELA ADMINISTRAÇÃO PÚBLICA.	_doc	edital	M	Municipal	db477911adb877cf5bdad4016d2dc142	catalog2	/compras/83551549000100/2024/50	8	Dispensa	4338	Balneário Camboriú		83551549000100-1-000050/2024	50		83551549000100	40412	BALNEARIO CAMBORIU CAMARA DE VEREADORES			L	Legislativo	1	Divulgada no PNCP	False			2	Aviso de Contratação Direta	Aviso de Contratação Direta nº DE29/2024/2024	SC	16	2400476	Câmara de Vereadores de Balneário Camboriú	
2024	False	2024-10-16T00:00:37.662126		2024-10-16T00:00:37.513832	2024-10-30T14:00:01	2024-10-30T13:59:01	2024-10-16T00:00:37.513832	Contratação pela Superintendência do Porto de Itajaí de Empresa Especializada para Fornecimento de Equipamento de Proteção Individual – EPI, para à Superintendência do Porto de Itajaí, em atendimento as normas de saúde e segurança do trabalho.	_doc	edital	M	Municipal	dc06720e1dada44f86f2bdb9f2f082e2	catalog2	/compras/00662091000120/2024/47	6	Pregão - Eletrônico	4437	Itajaí		00662091000120-1-000047/2024	47		00662091000120	87939	SUPERINTENDENCIA DO PORTO DE ITAJAI			E	Executivo	1	Divulgada no PNCP	False			1	Edital	Edital nº 007/24/2024	SC	30	58565	Superintendência do Porto de Itajaí - PORTO	
2024	False	2024-10-16T00:00:37.034499		2024-10-16T00:00:36.888498	2024-10-17T18:00:01	2024-10-14T16:00:01	2024-10-16T00:00:36.888498	CONTRATAÇÃO CONFORME CI 119/2024 COAMB - SIPE 7575/2024, DE EMPRESA ESPECIALIZADA PARA REALIZAR IDENTIFICAÇÃO, GESTÃO E ATUALIZAÇÃO MENSAL DOS REQUISITOS LEGAIS AMBIENTAIS,  SEGURANÇA E SAUDE OCUPACIONAL E RESPONSABILIDADE SOCIAL DA SUPERINTENDENCIA DO PORTO DE ITAJAI	_doc	edital	M	Municipal	303d4a13ecb4bce7a1797287dd3f58d4	catalog2	/compras/00662091000120/2024/46	8	Dispensa	4437	Itajaí		00662091000120-1-000046/2024	46		00662091000120	87939	SUPERINTENDENCIA DO PORTO DE ITAJAI			E	Executivo	1	Divulgada no PNCP	False			2	Aviso de Contratação Direta	Aviso de Contratação Direta nº CD 019/2024/2024	SC	30	58565	Superintendência do Porto de Itajaí - PORTO	
2024	False	2024-10-16T00:00:35.144974		2024-10-16T00:00:34.882047	2024-10-31T08:30	2024-10-16T09:00	2024-10-16T00:00:34.882047	Aquisição FUTURA de materiais de copa, higiene e limpeza para garantir a salubridade das 32 unidades do SEMAE, através do Sistema de Registro de Preços SRP, conforme estabelece a Lei Nº 14.133/2021.	_doc	edital	M	Municipal	004c1372b603eb337169e2471deffa90	catalog2	/compras/88368386000130/2024/66	6	Pregão - Eletrônico	5005	São Leopoldo		88368386000130-1-000066/2024	66		88368386000130	41162	SERVICO MUNICIPAL DE AGUA E ESGOTOS-SEMAE			E	Executivo	1	Divulgada no PNCP	False			1	Edital	Edital nº 0005/2024	RS	125431	2452892	SERVIÇO MUNICIPAL DE ÁGUA E ESGOTOS - SEMAE	
2024	False	2024-10-16T00:00:10.908767		2024-10-16T00:00:10.671025	2024-11-04T13:30:01	2024-11-04T13:30:01	2024-10-16T00:00:10.671025	REGISTRO DE PREÇOS PARA AQUISIÇÃO DE EMULSÃO ASFÁLTICA - RR2C	_doc	edital	M	Municipal	96e0ed6daa0db4a23d1cbcc4d208b981	catalog2	/compras/83074302000131/2024/63	6	Pregão - Eletrônico	4360	Caçador		83074302000131-1-000063/2024	63		83074302000131	40289	MUNICIPIO DE CACADOR			N	Não se aplica	1	Divulgada no PNCP	False			1	Edital	Edital nº PRE 023/2024/2024	SC	1	2444682	Prefeitura Municipal de Caçador	
2024	False	2024-10-16T00:00:09.979626		2024-10-16T00:00:09.441168	2024-10-31T08:30:01	2024-10-15T10:00:01	2024-10-16T00:00:09.441168	REGISTRO DE PREÇO PARA EVENTUAL E FUTURA AQUISIÇÃO DE AGENTE REDUTOR LÍQUIDOS DE ÓXIDOS DE NITROGÊNIO AUTOMOTIVO (ARLA 32), PARA O CORPO DE BOMBEIROS	_doc	edital	M	Municipal	3f507052bcd2acca043ce4d9fcb2393b	catalog2	/compras/83102277000152/2024/343	6	Pregão - Eletrônico	4437	Itajaí		83102277000152-1-000343/2024	343		83102277000152	86017	MUNICIPIO DE ITAJAI			N	Não se aplica	1	Divulgada no PNCP	False			1	Edital	Edital nº PE 166/2024/2024	SC	1	30892	PREFEITURA MUNICIPAL DE ITAJAÍ - SC	
2024	False	2024-10-16T00:00:06.576226		2024-10-16T00:00:06.251146	2024-10-30T14:00:01	2024-10-15T10:00:01	2024-10-16T00:00:06.251146	REGISTRO DE PREÇO PARA EVENTUAL E FUTURA AQUISIÇÃO DE RAÇÃO OPERACIONAL DE EMERGÊNCIA (R3) - 12 HORAS, PARA O CORPO DE BOMBEIROS	_doc	edital	M	Municipal	3f32725c82b618bf7213b0fdd3ece721	catalog2	/compras/83102277000152/2024/342	6	Pregão - Eletrônico	4437	Itajaí		83102277000152-1-000342/2024	342		83102277000152	86017	MUNICIPIO DE ITAJAI			N	Não se aplica	1	Divulgada no PNCP	False			1	Edital	Edital nº PE 165/2024/2024	SC	1	30892	PREFEITURA MUNICIPAL DE ITAJAÍ - SC	
2024	False	2024-10-16T00:00:07.630574		2024-10-16T00:00:05.606995			2024-10-16T00:00:05.606995	INEXIGIBILIDADE PARA CONTRATAÇÃO DE SERVIÇOS DE ESPETÁCULO TEATRAL COMO PROJETO PEDAGÓGICO PARA O ESTÍMULO À LEITURA DOS ALUNOS DA REDE MUNICIPAL DE ENSINO DE PINHEIRO PRETO	_doc	edital	M	Municipal	6f9443d1c85c68bdd79751f6f8ce9b59	catalog2	/compras/82827148000169/2024/97	9	Inexigibilidade	4508	Pinheiro Preto		82827148000169-1-000097/2024	97		82827148000169	40072	MUNICIPIO DE PINHEIRO PRETO			N	Não se aplica	1	Divulgada no PNCP	True			3	Ato que autoriza a Contratação Direta	Ato que autoriza a Contratação Direta nº 25IL2024/2024	SC	2	56792	Município de Pinheiro Preto	
2024	False	2024-10-16T00:00:04.155213		2024-10-16T00:00:03.845275	2024-10-23T09:00:01	2024-10-15T10:00:01	2024-10-16T00:00:03.845275	FORNECIMENTO DE LICENÇAS DE USO DE SOLUÇÃO DE PRODUTIVIDADE E COLABORAÇÃO INTEGRADA (G-WORKSPACE), PARA O CORPO DE BOMBEIROS	_doc	edital	M	Municipal	999aff957d5179fa596e3728eea36f54	catalog2	/compras/83102277000152/2024/341	8	Dispensa	4437	Itajaí		83102277000152-1-000341/2024	341		83102277000152	86017	MUNICIPIO DE ITAJAI			N	Não se aplica	1	Divulgada no PNCP	False			2	Aviso de Contratação Direta	Aviso de Contratação Direta nº DE 150/2024/2024	SC	1	30892	PREFEITURA MUNICIPAL DE ITAJAÍ - SC	
2024	False	2024-10-16T00:00:04.451627		2024-10-16T00:00:02.696182			2024-10-16T00:00:02.696182	Pagamento de franquia obrigatória para manutenção (sinistro 0131254493) veículo Ford Ka Ano 2020 da Secretaria de saúde (apólice 01.310127626000000) em oficina credenciada pela seguradora.	_doc	edital	M	Municipal	d7cde27ab7ccf2c8d3f5c46f51f9bf7f	catalog2	/compras/11267522000170/2024/23	9	Inexigibilidade	4432	Irani		11267522000170-1-000023/2024	23		11267522000170	7738	FUNDO MUNICIPAL DE SAUDE DE IRANI			E	Executivo	1	Divulgada no PNCP	True			3	Ato que autoriza a Contratação Direta	Ato que autoriza a Contratação Direta nº IL9/2024/2024	SC	2	2576713	Fundo Municipal de Saúde de Irani	
