anoCompra	cnpj	dataPublicacaoPncp	numero_controle_pncp	sequencialCompra	sequencialDocumento	statusAtivo	tipoDocumentoDescricao	tipoDocumentoId	tipoDocumentoNome	titulo	uri	url
2024	10839508000131	2024-05-24T13:28:52	10839508000131-1-000036/2024-000017	17	1	True	Aviso de Contratação Direta	1	Aviso de Contratação Direta	AC1_2024 - Aquisicao de micro-ondas	https://pncp.gov.br/pncp-api/v1/orgaos/10839508000131/compras/2024/17/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/10839508000131/compras/2024/17/arquivos/1
2024	46523239000147	2024-02-21T09:04:49	46523239000147-1-000052/2024-000005	5	1	True	Edital	2	Edital	Edital PE 004 2024.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/1	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/1
2024	46523239000147	2024-02-21T09:04:49	46523239000147-1-000052/2024-000005	5	2	True	Outros Documentos	16	Outros Documentos	Declaracao de Ciencia e de Notificacao.doc	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/2	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/2
2024	46523239000147	2024-03-21T08:05:51	46523239000147-1-000052/2024-000005	5	3	True	Outros Documentos	16	Outros Documentos	1Â° Parecer Tecnico.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/3	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/3
2024	46523239000147	2024-03-25T08:53:11	46523239000147-1-000052/2024-000005	5	4	True	Outros Documentos	16	Outros Documentos	1Â° Parecer Tecnico.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/4	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/4
2024	46523239000147	2024-04-10T15:02:10	46523239000147-1-000052/2024-000005	5	5	True	Outros Documentos	16	Outros Documentos	2Â° Parecer Tecnico.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/5	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/5
2024	46523239000147	2024-05-23T14:02:34	46523239000147-1-000052/2024-000005	5	6	True	Outros Documentos	16	Outros Documentos	3Âº Parecer tecnico.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/6	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/6
2024	46523239000147	2024-05-23T14:02:35	46523239000147-1-000052/2024-000005	5	7	True	Outros Documentos	16	Outros Documentos	Substituicao do pregoeiro.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/7	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/7
2024	46523239000147	2024-06-14T14:45:43	46523239000147-1-000052/2024-000005	5	8	True	Outros Documentos	16	Outros Documentos	4Âº Parecer da equipe tecnica.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/8	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/8
2024	46523239000147	2024-06-14T14:45:44	46523239000147-1-000052/2024-000005	5	9	True	Outros Documentos	16	Outros Documentos	5Âº Parecer - Cadastro.pdf	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/9	https://pncp.gov.br/pncp-api/v1/orgaos/46523239000147/compras/2024/5/arquivos/9
