aplicabilidadeMargemPreferenciaAdicional	aplicabilidadeMargemPreferenciaNormal	codigoRegistroImobiliario	criterioJulgamentoId	criterioJulgamentoNome	dataAtualizacao	dataInclusao	descricao	imagem	incentivoProdutivoBasico	itemCategoriaId	itemCategoriaNome	materialOuServico	materialOuServicoNome	ncmNbsCodigo	ncmNbsDescricao	numeroItem	numero_controle_pncp	orcamentoSigiloso	patrimonio	percentualMargemPreferenciaAdicional	percentualMargemPreferenciaNormal	quantidade	situacaoCompraItem	situacaoCompraItemNome	temResultado	tipoBeneficio	tipoBeneficioNome	unidadeMedida	valorTotal	valorUnitarioEstimado
False	False		1	Menor preço	2024-10-16T00:00:10	2024-10-16T00:00:10	CATMAT 385184 - Emulsão Asfáltica RR–2C (Emulsão de Ruptura Catiônica Tipo 2) fabricada em conformidade com as especificações da Resolução ANP n.º 897, de 18 de novembro de 2022.	0	False	3	Não se aplica	M	Material			1	83074302000131-1-000063/2024	False				115.0	1	Em andamento	False	5	Não se aplica	TONELADA	474269.2	4124.08
False	False		1	Menor preço	2024-10-16T00:00:59	2024-10-16T00:00:59	LÂMPADA MODELO BULBO LED 9WX 100-240V 6500K	0	False	3	Não se aplica	M	Material			1	83551549000100-1-000050/2024	False				1.0	1	Em andamento	False	5	Não se aplica	UNIDADE	147.0	147.0
False	False		7	Não se aplica	2024-10-16T00:00:07	2024-10-16T00:00:05	APRESENTAÇÃO DE PEÇA TEATRAL [35088]	0	False	3	Não se aplica	S	Serviço			1	82827148000169-1-000097/2024	False				1.0	2	Homologado	True	5	Não se aplica	Unidade	5000.0	5000.0
False	False		1	Menor preço	2024-10-16T00:00:09	2024-10-16T00:00:09	Agente Redutor Líquido de Óxidos de Nitrogênio Automotivo (ARLA 32)	0	False	3	Não se aplica	M	Material			1	83102277000152-1-000343/2024	False				100.0	1	Em andamento	False	5	Não se aplica	Litro	11420.0	114.2
False	False		7	Não se aplica	2024-10-16T00:00:04	2024-10-16T00:00:02	FRANQUIA	0	False	3	Não se aplica	S	Serviço			1	11267522000170-1-000023/2024	False				1.0	2	Homologado	True	5	Não se aplica	UN	2745.0	2745.0
False	False		1	Menor preço	2024-10-16T00:00:36	2024-10-16T00:00:36	IMPLANTAÇÃO DO SISTEMA DE GESTÃ DE REQUISITOS LEGAIS	0	False	3	Não se aplica	S	Serviço			1	00662091000120-1-000046/2024	False				24.0	1	Em andamento	False	5	Não se aplica	SERVIÇO	0.0	0.0
False	False		1	Menor preço	2024-10-16T00:00:36	2024-10-16T00:00:36	MANUTENÇÃO MENSAL DO SISTEMA DE GESTÃO DE REQUISITOS LEGAIS	0	False	3	Não se aplica	S	Serviço			2	00662091000120-1-000046/2024	False				24.0	1	Em andamento	False	5	Não se aplica	SERVIÇO	0.0	0.0
False	False		1	Menor preço	2024-10-16T00:00:36	2024-10-16T00:00:36	MANUTENÇÃO MENSAL DO SISTEMA DE GESTÃO DE REQUISITOS LEGAIS	0	False	3	Não se aplica	S	Serviço			3	00662091000120-1-000046/2024	False				24.0	1	Em andamento	False	5	Não se aplica	SERVIÇO	0.0	0.0
False	False		1	Menor preço	2024-10-16T00:00:36	2024-10-16T00:00:36	IMPLANTAÇÃO DO SISTEMA DE GESTÃ DE REQUISITOS LEGAIS	0	False	3	Não se aplica	S	Serviço			4	00662091000120-1-000046/2024	False				24.0	1	Em andamento	False	5	Não se aplica	SERVIÇO	0.0	0.0
False	False		1	Menor preço	2024-10-16T00:00:06	2024-10-16T00:00:06	CARDÁPIO 1 - ESTROGONOFE DE CARNE BOVINA	0	False	3	Não se aplica	M	Material			1	83102277000152-1-000342/2024	False				200.0	1	Em andamento	False	5	Não se aplica	unidade	22500.0	112.5
